,NAME,BIRTH,SALARY,PHONE
0,Николаев Алексей,1993-12-21,35000,79659233211
1,Иванов Иван,1993-05-19,35000,79234001927
2,Волков Евгений,1978-08-10,35000,79617804098
3,Виноградов Павел,1984-03-04,35000,79837469951
4,Киселев Степан,1995-05-10,35000,79655652353
5,Кузнецов Андрей,1984-12-28,35000,79641466744
6,Федоров Алексей,1977-08-20,35000,79516674505
7,Михайлов Сергей,1976-08-24,35000,79513988295
8,Соколов Степан,1990-07-12,35000,79642601580
9,Семенов  Кирилл,1971-02-01,35000,79514693080
10,Макаров Михаил,1985-06-05,35000,79670840546
11,Богданов Сергей,1977-06-15,35000,79633236933
12,Соловьев Дмитрий,1984-02-08,35000,79657939122
13,Лебедев Максим,1974-12-04,35000,79634817137
14,Пеляев Александр,1993-06-24,35000,79839215308
15,Попов Максим,1980-08-10,35000,79532155186
16,Макаров Михаил,1985-11-03,35000,79044854412
17,Воробьев Андрей,1985-02-08,35000,79653293002
18,Воробьев Иван,1975-04-19,35000,79862904355
19,Соловьев Владимир,1996-07-12,35000,79644065973
20,Семенов Никита,1999-03-15,35000,79630383870
21,Федоров Матвей,1999-10-27,35000,79641800543
22,Кузнецов Степан,1984-09-03,35000,79511660417
23,Комаров Дмитрий,1980-03-26,35000,79007408377
24,Федоров Алексей,1983-04-21,35000,79626580447
25,Лебедев Владимир,1990-03-24,35000,79687044226
26,Петров Максим,1982-09-11,35000,79687044226
27,Волков Виктор,1979-03-10,35000,79648369240
28,Васильев Андрей,1993-12-21,35000,79601158849
29,Иванов Роман,1986-11-04,35000,79676345581
30,Семенов Иван,1982-12-13,35000,79611446645
31,Орлова Елена,1989-03-22,40000,79523011989
32,Виноградова Злата,1985-10-31,45000,79223717859
33,Пеляева Алиса,1993-01-05,50000,79015952100
34,Воробьева Анастасия,1978-09-12,200000,79004365369
35,Николаев Алексей,1993-12-21,35000,79659233211
